"","artist","avg_stream","avg_dance","avg_energy","avg_tempo","avg_key","avg_loudness","avg_speech","avg_acoust","avg_instru","avg_live","avg_valence"
"48","BTS",636791026.7,0.7061,0.7573,115.9051,4.6,-4.663,0.0889,0.098337,0.00014332,0.21923,0.6745
"49","Linkin Park",636240882,0.5626,0.8977,117.7949,5.5,-4.5191,0.07259,0.03761,0.000000616,0.35595,0.4954
"50","Lewis Capaldi",630214407.2,0.5698,0.4746,111.4829,3.5,-6.167,0.0417,0.59116,0,0.14142,0.344
"51","J. Cole",616242157.6,0.725,0.579,113.852,5.3,-8.2801,0.26367,0.21763,0.0078598,0.2536,0.36863
"52","Macklemore",594994583.4,0.7174,0.7125,120.0477,4.1,-5.853,0.09968,0.14314,0.000006401,0.17263,0.585
"53","AC/DC",594140589.7,0.5189,0.8506,132.9181,5.7,-4.7232,0.10189,0.0581574,0.0185001,0.20841,0.5154
"54","Miley Cyrus",590280770.5,0.6483,0.6584,112.0494,4.3,-5.3037,0.04392,0.084972,0.000191791,0.16178,0.4324
"55","Migos",578095613.1,0.8511,0.6224,147.2063,3.6,-5.7832,0.19745,0.131023,0.000034849,0.17963,0.3773
"56","DaBaby",573605260.2,0.8254,0.6755,120.3314,4.4,-5.3883,0.29037,0.110833,0,0.14962,0.7198
"57","Clean Bandit",573125639.7,0.7377,0.6609,116.6853,5.9,-5.6699,0.06371,0.24181,0.00001591,0.19116,0.5757
"58","Wiz Khalifa",565336560.8,0.6562,0.7062,141.663,6.2,-5.6773,0.1427,0.16549,0.000000103,0.20692,0.5556
"59","Cardi B",558539662.3,0.85,0.67,134.9153,5.8,-5.6977,0.20298,0.066166,0.001930126,0.10482,0.6389
"60","Guns N' Roses",557904178.3,0.3818,0.7735,124.9497,9,-7.6572,0.06365,0.095298,0.1332927,0.1793,0.3485
"61","Jhayco",549145966.9,0.7966,0.7053,101.7899,5.6,-5.8041,0.07115,0.21479,0.00000522,0.18852,0.4986
"62","Pop Smoke",547883954.6,0.6865,0.677,124.1247,6.9,-6.1715,0.2879,0.185455,0.000042267,0.23958,0.4324
"63","ZAYN",547539427.1,0.5156,0.5374,129.9237,5.9,-6.5585,0.03984,0.191867,0.000313198,0.10855,0.25811
"64","Elton John",546206168.1,0.5934,0.6939,133.5654,3.2,-7.318,0.05434,0.30532,0.012293141,0.13814,0.574
"65","Jason Derulo",532202122.1,0.7264,0.7339,120.6067,3.2,-5.2103,0.06548,0.085246,0.000000105,0.16327,0.6954
"66","KAROL G",530314301.8,0.7611,0.7211,109.4623,5.6,-4.1587,0.17272,0.32471,0.00095556,0.15408,0.594
"67","Demi Lovato",529347580.9,0.6521,0.7165,123.5966,5.4,-5.1935,0.08011,0.055664,0.00009935,0.19202,0.5219
"68","OneRepublic",523448636.7,0.6331,0.7255,128.3135,4,-6.5766,0.0385,0.18099,0.00007672,0.14916,0.5852
"69","Lil Uzi Vert",523160319.7,0.712,0.64,137.564,4.9,-6.9839,0.14908,0.170304,0.000501,0.15624,0.46375
"70","Justin Timberlake",521342585.2,0.7476,0.6782,101.8284,6.8,-6.0797,0.09831,0.1991,0.000128522,0.20927,0.6781
"71","James Arthur",521037236.2,0.4929,0.6191,120.2802,7.4,-6.4341,0.05022,0.31058,0.00007393,0.16819,0.4213
"72","Beyoncé",517856012.9,0.6629,0.6794,110.2237,4.5,-6.2512,0.11749,0.15334,0.00012907,0.20736,0.5875
"73","Flo Rida",517446057.6,0.7053,0.8042,124.3895,4.9,-5.1622,0.05915,0.0424864,0.004260179,0.2254,0.5707
"74","Daddy Yankee",513546248.1,0.7724,0.8212,103.7047,3.9,-4.7834,0.06922,0.13392,0.0000197,0.13871,0.6822
"75","Fleetwood Mac",506301017.4,0.641,0.5482,136.1036,5.6,-11.6614,0.03327,0.24742,0.05038192,0.09729,0.7515
"76","Luis Fonsi",505432620.1,0.6446,0.7417,128.1499,4,-5.1482,0.07795,0.31469,0.000042489,0.18304,0.6448
"77","Martin Garrix",501579063.7,0.5769,0.6118,131.1982,5.3,-6.9587,0.05573,0.27204,0.03241081,0.19231,0.2499
