"","artist","avg_views","avg_streams"
"179","Anuel AA",352798361.2,339374018
"180","Gunna",40966660.8,338922072.5
"181","Manuel Turizo",438737509.6,337936301.5
"182","Lana Del Rey",125290521.6,337934737.8
"183","John Mayer",44589619.4,337278490.1
"184","The Notorious B.I.G.",65186620.2,337026157.7
"185","ABBA",196945255.1,334736160.6
"186","Nio Garcia",102977256,333202924.8
"187","Megan Thee Stallion",129808828.7,332871848.9
"188","A Boogie Wit da Hoodie",43632384.7,332867458.9
"189","Led Zeppelin",58533370.2,332435255.1
"190","ROSALÍA",376912029.4,331741601.1
"191","Becky G",584547543.7,331516507.1
"192","Logic",71302583.9,331469950.2
"193","A$AP Rocky",115174592.8,330608491.6
"194","Disclosure",119632347.5,329351413
"195","Aerosmith",201420573.7,328725296
"196","YNW Melly",136325533.3,327965607.4
"197","2Pac",109252240.7,325683181.4
"198","Tyler, The Creator",37250206.3,325078825.9
"199","Tame Impala",43314765.7,323838651.9
"200","Jonas Brothers",76400268.4,322798259.9
"201","Don Omar",137754498.4,321979020.6
"202","Felix Jaehn",170047160.8,320762725.8
"203","Train",114298625.2,320231227.2
"204","Lizzo",66485332.8,319944876.5
"205","24kGoldn",69151886.6,319617162.3
"206","Piso 21",508010546,319546651.5
"207","Gorillaz",204394284.6,319317437.5
"208","Dalex",175510010.6,317641501.5
"209","Alesso",99033675.3,316329629.7
"210","blink-182",145195235.1,315199109.7
"211","Niall Horan",52080565,314812380
"212","Calum Scott",207297859.9,314624024
"213","Tiësto",77055464.5,313561758.1
"214","The Lumineers",102793749.4,311669176.5
"215","Pharrell Williams",108311208.1,310873754.2
"216","Michael Bublé",75615844,309624375.5
"217","Playboi Carti",33434763,308961023.4
"218","U2",88747585.4,308662052.7
"219","Paulo Londra",498605320.4,307074089.4
"220","Reik",404035032.6,307022036.2
"221","Chance the Rapper",60216373.5,304494123.4
"222","The Police",149084678.7,304434019
"223","Christina Aguilera",270939783.2,303843382.2
"224","DJ Luian",509775262.1,301253086
"225","Mambo Kingz",509775170.1,301253086
"226","George Ezra",55080646.1,300812108.6
"227","Kid Cudi",71920958.8,300107449.7
"228","My Chemical Romance",121778861.8,299572784.2
"229","Metro Boomin",65021162.3,299015551.5
"230","Billy Joel",71078224.9,299000515.8
"231","Kesha",149606530.8,298613177.4
"232","Don Toliver",66703984.2,298307618.6
"233","iann dior",56430280.1,298273654
"234","Bradley Cooper",196000978.6,297910415
"235","Future",85752283.2,297718302.5
"236","Machine Gun Kelly",114740852.6,296845443.5
"237","Danny Ocean",73485767.1,296704387.2
"238","Melanie Martinez",111501974.3,295815131
"239","MEDUZA",36156974.3,295551672.7
"240","Mac Miller",76731398.2,294726269.7
"241","MØ",376189873.1,294466043
"242","Lil Tjay",98779302.2,291915424.3
"243","Natti Natasha",808532392.9,290790965.1
"244","Jessie J",421247350.2,290561983
"245","Romeo Santos",504076884.9,290328071.1
"246","Radiohead",116163783.5,289823932.4
"247","Sean Paul",362910008,287346019.4
"248","Wisin",407247704.1,285801591.2
"249","The Offspring",71786004.1,285540809.3
"250","Måneskin",33433796.3,284656094
"251","Meek Mill",121817074.3,283824408.9
"252","Rex Orange County",18792506.1,283782785.3
"253","Jeremih",108143497,282885474.9
"254","Skrillex",300737118.9,282254852.9
"255","Conan Gray",30292957.3,281685206.4
"256","Lil Tecca",67116906.9,281646278.4
"257","Amy Winehouse",189440348,280901522.6
"258","Aventura",253748807.2,279611756.2
"259","Eagles",35555291.7,278478821.4
"260","Lukas Graham",185414514.1,278070446.5
"261","Miguel",89597730.3,277562649.7
"262","Outkast",125056428.3,277547630.5
"263","James Bay",35138442.6,276406738.2
"264","Backstreet Boys",283958897.4,274926774.7
"265","Journey",52825765.7,273902542.1
"266","Jess Glynne",67358680.5,272366160.4
"267","Bryson Tiller",81995891.4,271071108.5
"268","Snoop Dogg",165817321.4,270331537.8
"269","Slipknot",199524591.5,268827838.7
"270","Kings of Leon",99019228.2,268484807.5
"271","Phil Collins",80293254.7,267600061.7
"272","Nickelback",104988178.8,266894438.4
"273","Rita Ora",113202743.1,266084268
"274","Dan + Shay",64763670.8,265259047.3
"275","Maren Morris",32961892.5,263506572.7
"276","Bee Gees",125685315.2,263466843.8
"277","Tate McRae",34660689.9,262195959.5
"278","Alec Benjamin",64242998.8,262195087.4
"279","Foster The People",115879010.7,261730781.3
"280","Sech",88946647.9,261645052.4
"281","Nelly",258471989.5,261584332
"282","Grey",44792566.2,260889947.2
"283","Mike Posner",347313262.3,260843200.3
"284","Marvin Gaye",24198558.6,258076733.4
"285","Kelly Clarkson",133357869.3,257683700.4
"286","Oasis",20030822,255883685
"287","Bryan Adams",176710218.1,255519929.2
"288","Camilo",238565026.4,255418449.9
"289","Dean Lewis",45772250.6,255266821.9
"290","Avril Lavigne",280845515.8,253422630.2
"291","Muse",110013228,253070601.1
"292","John Legend",497687768.9,251773438.7
"293","Myke Towers",225934022.9,251679092.2
"294","Luis Miguel",137434553.1,249907779.9
"295","League of Legends",140274480.9,249809730.7
"296","Bruce Springsteen",77511164.8,249566066
"297","TOTO",133443091.1,248700438.5
"298","Akon",441172807.7,247594889.2
"299","Paramore",146613835.9,246374373.3
"300","Jennifer Lopez",622982752.6,246255723.1
"301","Mumford & Sons",99348431,245849866.1
"302","David Bowie",30222409.1,245758307.3
"303","Morgan Wallen",60430970.3,245639860.7
"304","Pearl Jam",46690441.8,244110340.7
"305","MNEK",113689990.7,242834388.9
"306","Christina Perri",300475773.6,241581724.3
"307","Earth, Wind & Fire",641407658,240692403.7
"308","Bizarrap",175000577.5,240243146.2
"309","Jeremy Zucker",100721609.2,239647294
"310","Daryl Hall & John Oates",696499.6,239187258.3
"311","Galantis",123754158.3,239029858
"312","Imanbek",31174912.4,238411575.8
"313","Stevie Wonder",4272475.2,238404749.5
"314","Elvis Presley",74410717.7,238138473.7
"315","6LACK",83451276.6,237950267.3
"316","Christian Nodal",336577559.1,236553169
"317","Fetty Wap",213649458.3,235764346.5
"318","Zendaya",57377695.3,233658848.5
"319","Disturbed",139873611.9,233415064.1
"320","Kane Brown",136740735.4,232969475.3
"321","Russ",105441610.9,231139373.1
"322","Clairo",11551416.8,230808794.6
"323","Bon Iver",20937645.3,230099698.4
"324","SAINt JHN",22298374.9,229432310.2
"325","Ruth B.",26999280.3,228843711.8
"326","Lynyrd Skynyrd",20087564,228705855.4
"327","Frank Sinatra",27335739.7,228104466.6
"328","Zac Efron",26702134.2,227707480.5
"329","MGMT",59506911.5,226521387
"330","Three Days Grace",121313629.1,225304680.7
"331","Jack Johnson",17751634.5,224317625.1
"332","SZA",45169037.4,223909549.5
"333","Passenger",681266979.6,222533286.9
"334","Offset",101490828.9,222291923.2
"335","Carlos Vives",440140760.6,221779340.4
"336","Steve Lacy",16077791.2,221187161.7
"337","Prince Royce",375683537.2,220184988
"338","Topic",30756728.7,219322939.6
"339","Pedro Capó",405547594.5,219321079.5
"340","21 Savage",17182285,218641700.1
"341","Wham!",217838169.7,218149515.9
"342","Carly Rae Jepsen",228869956.4,218013032.2
"343","The Fray",55942852,217434659.9
"344","R.E.M.",142960158.5,216642284.1
"345","Disney",108570212.6,215927649.8
"346","X Ambassadors",34917146.8,215748330.1
"347","Young Thug",55175181.7,214317929.2
"348","The Strokes",68822409.6,214309934.5
"349","TWICE",315379252.4,213687730.1
"350","Kali Uchis",27588100.6,212708099.9
"351","$uicideboy$",33413510.8,212674813
"352","Mau y Ricky",282542184.5,212377040.5
"353","Rudimental",189606342,211913915.4
"354","Hozier",93060765,211618934.4
"355","B.o.B",184174847.1,211365354.4
"356","Noah Cyrus",63422792,210807174.2
"357","Hugh Jackman",16585899.3,210772356.6
"358","Becky Hill",30867546,210282674.8
"359","Destiny's Child",122237648.3,209552272.8
"360","Gucci Mane",115757840.6,209177091.4
"361","Mustard",54163068.4,208389022
"362","Kehlani",96798604.6,208276593.6
"363","Ski Mask The Slump God",33496890.7,208225698.5
"364","Joel Corry",59755193.8,208207108.5
"365","Tom Odell",126159499.2,208004590.6
"366","Simon & Garfunkel",0,207971432.1
"367","Sam Hunt",54227691.7,207954199.3
"368","The Cranberries",245308528.3,207821634.5
"369","Cigarettes After Sex",4380466.4,206967133.9
"370","Mora",53586865.3,206479814.2
"371","James Blunt",146919621.4,205969908.6
"372","Tove Lo",234746685.6,205535826.7
"373","NAV",33144530.8,204218400.8
"374","Mabel",62779158.7,203542619.8
"375","WILLOW",30628839.5,203198102.3
"376","Nelly Furtado",242119567.6,203061895
"377","Chris Stapleton",116974804,202089657.1
"378","Rag'n'Bone Man",247285679.9,201574687.3
"379","Swedish House Mafia",219589627.7,200481548.6
"380","Johnny Cash",45237641.3,200471812
"381","Florence + The Machine",57857861.8,200165923.6
"382","Tory Lanez",67042001.8,199789133.3
"383","2 Chainz",89836823.6,199560008.7
"384","Limp Bizkit",92319153.3,199346382.3
"385","A$AP Ferg",49504075,199247025.2
"386","JP Cooper",88246289.6,199212985.7
"387","Rick Ross",114105360.7,199000035.5
"388","Anderson .Paak",95086025.9,198463886.1
"389","Thomas Rhett",81543959.2,197788638.7
"390","Idina Menzel",193226960.3,197016707.8
"391","Birdy",72465948.1,196793754.7
"392","The White Stripes",66252138.4,196412777.3
"393","The Beach Boys",2584767.7,195776018.9
"394","Gigi D'Agostino",115157094,195178192.2
"395","Luke Bryan",109520680.1,194638148.2
"396","Jesse & Joy",0,194348341.3
"397","girl in red",28261090.1,193162802.2
"398","WALK THE MOON",89854732.7,192737945.1
"399","Original Broadway Cast of Hamilton",4731585.4,192281241.1
"400","Willy William",429960935.6,192274227.5
"401","Rage Against The Machine",34887272.5,192046681.9
"402","alt-J",59452784.6,191735328.1
"403","PNAU",59687653.8,191706607.7
"404","Madison Beer",107510330.1,191694275.8
"405","Milky Chance",115595030.4,191381537.4
"406","Jax Jones",32165040.5,190738726.4
"407","Avenged Sevenfold",128921047.3,190523293.4
"408","ScHoolboy Q",65445136,190485323.3
"409","Silk Sonic",101172631.5,189162219.2
"410","Van Halen",33643509.1,188738007.9
"411","Nick Jonas",63616773.1,188607567.5
"412","Skillet",136711806.1,188509467.3
"413","Maria Becerra",181095655.7,188501482.4
"414","Zac Brown Band",39324903.8,188162409.9
"415","PARTYNEXTDOOR",49745286,187459448
"416","Iggy Azalea",263294990.8,187325968.2
"417","Arizona Zervas",20941386.3,187020186.9
"418","John Newman",204885848.9,186748249.2
"419","Gwen Stefani",92639213.4,185718812.8
"420","Shaggy",134096989.6,184913319
"421","Ice Cube",40618187.8,184895727
"422","Ricky Martin",394178258.2,184124911.9
"423","beabadoobee",59366116.4,184072296.4
"424","LANY",33099047.6,183731423.6
"425","Juanes",158508260,183608776
"426","YoungBoy Never Broke Again",77140370,183328805.6
"427","Darell",438466832.6,183250509.9
"428","T-Pain",110318489,182761605.8
"429","Kodaline",54411870.9,182516684.2
"430","Yandel",235353867.6,182497599.9
"431","Of Monsters and Men",60907355.7,182267380.3
"432","Billy Ray Cyrus",145241409.9,181645712.9
"433","Jimi Hendrix",11946944.6,181225218.4
"434","Evanescence",284874918.1,180550063
"435","Fergie",153575925.8,180446871.5
"436","Mac DeMarco",16062694.8,180445144.1
"437","Weezer",43313120.3,179534368.3
"438","Cheat Codes",34332102.4,179264454.4
"439","Kina",14013204.7,178509350.1
"440","Rammstein",137499920.7,178367067.8
"441","Colbie Caillat",64410398.1,177815163.6
"442","Justin Quiles",151155681.1,177294101
"443","The Doors",8374919.7,177112551.1
"444","Sean Kingston",341342505.5,177106068.8
"445","Madonna",212930335.9,176911054.3
"446","The Jackson 5",17198020.7,176351619.8
"447","Leslie Odom Jr.",10131971.6,175807606.9
"448","George Michael",145989055.5,175460364.1
"449","fun.",143421329.1,175445857
"450","Lost Frequencies",26052396,175433350.7
"451","The Vamps",64323443,175224783.3
"452","Summer Walker",40542448.2,174942235.5
"453","Eric Clapton",49098655.6,174347223.2
"454","Brent Faiyaz",23858481.1,173957937.6
"455","The Goo Goo Dolls",53416234.9,173907809.1
"456","Tears For Fears",81657630.4,173737494.2
"457","Marc Anthony",323536834,173628956.7
"458","Mitski",15633339.2,173383721.3
"459","Steve Aoki",154011457.5,173205565.8
"460","RAYE",19408388.3,173011372.7
"461","Burna Boy",120038661.5,172998507.7
"462","Bring Me The Horizon",69098377,172912762.6
"463","Maná",209881810.7,172439079.7
"464","Van Morrison",15763369.4,172421675.7
"465","Taio Cruz",71076994.9,172407586.6
"466","Lil Durk",92164787,172257529.2
"467","De La Ghetto",219250863.7,172241945.5
"468","KHEA",271128567,172182031.9
"469","JID",40032395.8,171912135.9
"470","Ms. Lauryn Hill",98999063.9,171693238.5
"471","Céline Dion",112447827.1,171586842.3
"472","Andy Grammer",22253336,171139681.4
"473","Paul McCartney",54427888.5,171112212.6
"474","The Clash",18462882.2,170743390
"475","KISS",126523291.2,170673595.7
"476","YG",119479674.7,170644260
"477","Morat",172905831.3,170636026.3
"478","NLE Choppa",104502302.9,169960744.9
"479","Cyndi Lauper",186420480.4,169848281.2
"480","Chase Atlantic",13839804.2,169605433.7
"481","The 1975",22643332,168878966.5
"482","3 Doors Down",228556209.9,168769759.9
"483","Annie Lennox",189385666.6,168506170.2
"484","a-ha",200011053.8,168446981.4
"485","Arcángel",392949868.8,168267061
"486","Alok",70135921.7,167934707.9
"487","Quevedo",62966299.4,167145333.9
"488","Electric Light Orchestra",22106718,167075738.9
"489","Feid",83862588.3,166927564.7
"490","Alejandro Fernández",158700501.3,166896125.8
"491","Juan Magán",246006786.4,166714665.8
"492","Stromae",227484723.1,166662034.7
"493","The Smiths",20988744.1,166238399.9
"494","Trey Songz",109317416.1,165904986.2
"495","Julieta Venegas",110338836.5,165876014.7
"496","Keane",63312730.3,165750647.9
"497","Jaymes Young",20399417.9,165508005
"498","AJR",42898728.4,164594898
"499","Calibre 50",197434045.8,163244538.6
"500","Sublime",26606798.6,162594079.3
"501","T.I.",106681316.3,162531049.3
"502","The Pussycat Dolls",237532237,162474011
"503","Elley Duhé",24453003.8,162327696.5
"504","Baby Keem",14243002.8,162127339.7
"505","Banda MS de Sergio Lizárraga",106600328,161690157.5
"506","Gym Class Heroes",103676789.2,161435974.5
"507","bbno$",79263418.4,161388795.4
"508","Iron Maiden",46776901.8,161378431
"509","Papa Roach",49446815.7,161246127.5
"510","Bob Dylan",16994806,160846338.1
"511","Aretha Franklin",18776261,160817729
"512","John Lennon",62930957.4,160457828.4
"513","Rise Against",52882134.2,160415421.2
"514","Lee Brice",36496027.8,159987869.5
"515","Marília Mendonça",176010580.6,159233178.9
"516","MARINA",27902426.2,158746278.4
"517","Snow Patrol",54754157.9,158602147
"518","Sum 41",67801789.1,157545822.7
"519","Two Feet",67447799.1,157518065.2
"520","Gabry Ponte",47900846.2,156301507.9
"521","Lord Huron",22429235.6,156127256.1
"522","Two Door Cinema Club",24724876,155265467.8
"523","Leona Lewis",122471325.1,155021249.1
"524","Kevin Gates",103445322.4,154979273.9
"525","Cavetown",15751514.4,154722387.6
"526","Pablo Alborán",180557476.2,154655101.3
"527","Grupo Firme",197175085.5,153223747
"528","Bill Withers",8896908.4,153221482.1
"529","The Black Keys",42898020.1,152996378.1
"530","Brytiago",215575392.9,152782560.1
"531","The Smashing Pumpkins",52242762.2,152608276.3
"532","Daya",9609477.4,151668084
"533","The Who",6751172,151404124.8
"534","Owl City",112653169.1,151396384.4
"535","Dermot Kennedy",18613205.1,151233245.4
"536","Arcane",54630376,151120828.3
"537","Mötley Crüe",25036243.7,151003507.4
"538","Henrique & Juliano",613243.5,150961299.4
"539","Robbie Williams",88361068.3,150892648.5
"540","Jowell & Randy",8266725,150766546.1
"541","Jason Aldean",65013077.2,150553548.3
"542","Mother Mother",5445249.8,150306766.4
"543","Dolly Parton",17265154.6,150249534
"544","Trippie Redd",15422845.2,150064376.6
"545","Gotye",217677689.6,149886866.4
"546","Ñengo Flow",81272631.5,149731441.9
"547","Loud Luxury",26859441,149531382.2
"548","Boney M.",112618400.3,148933602.9
"549","Rich The Kid",57109323.2,148826037.4
"550","Spice Girls",97825918.4,148625815.9
"551","Oliver Tree",47850322.2,148412386.8
"552","CKay",111600422.4,148377132
"553","White Noise Baby Sleep",219527.7,147825417.6
"554","Lin-Manuel Miranda",37618793.7,146827196.7
"555","White Noise for Babies",16023869.3,146612234.7
"556","Alejandro Sanz",108378502.1,146159351.7
"557","Rascal Flatts",32201749.9,145776511.1
"558","Timbaland",177318758.2,145670736.8
"559","Dominic Fike",6284275.3,145085865
"560","Jhené Aiko",82615108.2,144923878.2
"561","PnB Rock",36587031.3,144726857.1
"562","C. Tangana",59264702.6,144719505.9
"563","Saweetie",69138857.5,144530545.6
"564","TLC",97987424.9,144263666.7
"565","Carin Leon",153540956,144213788.7
"566","Tiago PZK",113683137.5,144076325.2
"567","Korn",71677850.5,143680872.6
"568","*NSYNC",102783286.2,142783375.6
"569","Bomba Estéreo",125939811.2,142458252.4
"570","The Kooks",28243649.7,142238961.4
"571","Jon Pardi",28626510,142158091.9
"572","Audioslave",158347789.7,141940801.2
"573","Norah Jones",22402262,141721569.1
"574","Los Ángeles Azules",473915862.2,141611591.7
"575","Roxette",146929159.4,141247529.2
"576","Quavo",51880963.1,141027914.4
"577","Riton",15755196.2,140893357.3
"578","Jay Wheeler",116227094.3,140867056.3
"579","Joan Sebastian",56527256.8,140633697.9
"580","Breaking Benjamin",47048074.6,140153461.6
"581","M83",57397610.5,140092703.5
"582","Ofenbach",46075113.1,139970581.5
"583","Will Smith",92830148.6,139668049.4
"584","Yusuf / Cat Stevens",5454279.7,139634234.9
"585","Shania Twain",114776845.7,139439065.1
"586","El Alfa",149514894.6,139423919.5
"587","Gesaffelstein",38229047.7,139268111
"588","Sin Bandera",122505128.9,139231529.5
"589","Nicki Nicole",140235669.3,138878349.8
"590","Zé Neto & Cristiano",0,138862986.2
"591","Cage The Elephant",24306456.5,138618035
"592","Tom Petty",27295365.1,138214300.6
"593","Dave",44853230,137972217.4
"594","Tracy Chapman",24555522.7,137561893.1
"595","Cartel De Santa",150470753,137481634.7
"596","Joyner Lucas",35983286.4,136757396.8
"597","will.i.am",283132016.6,136230707.2
"598","Anitta",137169772.6,136100846
"599","Kimbra",212997227.2,136008208.8
"600","Lucenzo",18461922.8,135904959.4
"601","LMFAO",455775307.3,135677541.9
"602","Danna Paola",137293033,135155187.4
"603","Eric Church",34476822.2,134965156.6
"604","Cosculluela",210110471.6,134659189.1
"605","Empire of the Sun",59530549,134458105.5
"606","The All-American Rejects",48302443.7,134339566
"607","Brett Young",107542407.1,134282758.1
"608","Foreigner",53024758.6,134009468.9
"609","Central Cee",52935582.7,133866989.1
"610","Eurythmics",169453414.8,133381471.3
"611","Chelsea Cutler",4538252.7,133339261
"612","Rvssian",207550834.4,133222017.7
"613","Zoé",162855282.8,133099784.5
"614","Survivor",101248226.5,133026175.9
"615","Dave Stewart",172172471,132988340.1
"616","Otis Redding",21102225,132887490.7
"617","Calle 13",152597721.7,132557647.5
"618","Aitana",49521781.7,132437934.1
"619","Leon Bridges",16199400,132039561.7
"620","Plan B",214919352.5,131961159.8
"621","DJ Nelson",222027497.6,131864594.7
"622","TINI",128793539.6,131631935.6
"623","Thirty Seconds To Mars",73287061.3,131182046.5
"624","Paul Simon",16754308.1,131093275.8
"625","EXO",264579977,131020651.2
"626","Soulja Boy",98979639.4,130808321.3
"627","Jessie Reyez",39656065,130648423.2
"628","(G)I-DLE",175495394.1,130421245.8
"629","The Game",96219295.7,130131870.8
"630","Gente De Zona",264177117.8,130042798.9
"631","Bing Crosby",1062799.5,129907133.3
"632","Cali Y El Dandee",285403442.8,129854979.4
"633","Selena Gomez & The Scene",0,129842920
"634","Tina Turner",79694951.2,129623512.7
"635","Sara Bareilles",39707267.9,129617753.9
"636","Stormzy",55355626.8,129317615.1
"637","Prince",56067997.7,129311765.2
